epoch,step,test_age_loss,test_age_mae,test_gender_acc,test_gender_loss,train_age_loss,train_gender_loss,train_loss,val_age_loss,val_age_mae,val_gender_acc,val_gender_loss,val_loss
0,9,,,,,1641.97119140625,0.6981436610221863,1642.6693115234375,,,,,
0,19,,,,,1427.9658203125,0.6911823749542236,1428.656982421875,,,,,
0,29,,,,,593.762451171875,0.6416550874710083,594.4041137695312,,,,,
0,39,,,,,490.1604309082031,0.6569093465805054,490.8173522949219,,,,,
0,49,,,,,484.16632080078125,0.6182665824890137,484.7845764160156,,,,,
0,59,,,,,403.71417236328125,0.6237174272537231,404.337890625,,,,,
0,69,,,,,433.9815368652344,0.6349689960479736,434.61651611328125,,,,,
0,79,,,,,313.1467590332031,0.5911717414855957,313.7379455566406,,,,,
0,89,,,,,285.4704284667969,0.5925084352493286,286.06292724609375,,,,,
0,99,,,,,335.4022216796875,0.6067422032356262,336.00897216796875,,,,,
0,109,,,,,335.02880859375,0.5593874454498291,335.58819580078125,,,,,
0,119,,,,,249.04916381835938,0.6673337817192078,249.71649169921875,,,,,
0,129,,,,,169.79953002929688,0.6142922639846802,170.413818359375,,,,,
0,139,,,,,251.32479858398438,0.5939576029777527,251.91876220703125,,,,,
0,149,,,,,270.3265686035156,0.6231447458267212,270.94970703125,,,,,
0,159,,,,,208.3365020751953,0.6484214067459106,208.98492431640625,,,,,
0,169,,,,,205.8997802734375,0.6320776343345642,206.5318603515625,,,,,
0,179,,,,,200.57669067382812,0.6270620822906494,201.20375061035156,,,,,
0,189,,,,,225.2283935546875,0.6485199928283691,225.8769073486328,,,,,
0,199,,,,,220.1511993408203,0.6790401935577393,220.8302459716797,,,,,
0,209,,,,,202.86019897460938,0.6178171038627625,203.47801208496094,,,,,
0,219,,,,,148.63705444335938,0.5916918516159058,149.22874450683594,,,,,
0,229,,,,,203.7958984375,0.6165039539337158,204.4123992919922,,,,,
0,239,,,,,269.50152587890625,0.5915758609771729,270.0931091308594,,,,,
0,249,,,,,193.30783081054688,0.6478347778320312,193.95565795898438,,,,,
0,259,,,,,226.28468322753906,0.5875218510627747,226.87220764160156,,,,,
0,269,,,,,124.86068725585938,0.5961533784866333,125.45684051513672,,,,,
0,279,,,,,146.1807098388672,0.5626988410949707,146.743408203125,,,,,
0,289,,,,,180.81954956054688,0.600776195526123,181.42031860351562,,,,,
0,296,,,,,,,,175.80104064941406,9.899089813232422,0.7801687717437744,0.6047404408454895,176.40576171875
1,299,,,,,186.96405029296875,0.5937117338180542,187.55775451660156,,,,,
1,309,,,,,112.15943908691406,0.599238395690918,112.75867462158203,,,,,
1,319,,,,,202.24990844726562,0.5789510011672974,202.828857421875,,,,,
1,329,,,,,173.27052307128906,0.6482061147689819,173.91873168945312,,,,,
1,339,,,,,114.82850646972656,0.6475136876106262,115.47602081298828,,,,,
1,349,,,,,190.15440368652344,0.6273590326309204,190.78176879882812,,,,,
1,359,,,,,209.24658203125,0.598242998123169,209.84481811523438,,,,,
1,369,,,,,174.00393676757812,0.5752536058425903,174.57919311523438,,,,,
